transcript_id,employee_id,name,designation,education,experience,interview_date,interview_transcript,skills_mentioned,overall_score,feedback,hiring_decision,interview_summary
TID0017,EID0017,Richard Smith,Senior Data Analyst,B.Sc in CS,4 years,2025-05-09,"Interviewer: Tell me about yourself.
Candidate: like Hi, I'm Richard Smith. I studied B.Sc in CS and did internships where I worked on real-world data projects and dashboards.

Interviewer: Describe a difficult situation you handled.
Candidate: Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: How do you clean data?
Candidate: sort of I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is SQL?
Candidate: sort of SQL helps you interact with databases — for example, to retrieve customer records or sales data.
","Python, Excel, SQL, NumPy, R, Statistics, Power BI, Tableau",4.5,Excellent candidate. Recommended.,Hire,"Candidate Richard Smith (EID0017) applied for the role of Senior Data Analyst with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.5/5. Skills mentioned: Python, Excel, SQL, NumPy, R, Statistics, Power BI, Tableau. All mentioned skills supported."
TID0018,EID0018,Mark Smith,Data Engineer,B.Tech,1 years,2025-03-25,"Interviewer: Tell me about yourself.
Candidate: My name is Mark Smith and I hold a degree in B.Tech. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: What is a JOIN operation in SQL?
Candidate: I don't remember exactly.

Interviewer: How do you clean data?
Candidate: I'm not sure about that.

Interviewer: What is SQL?
Candidate: It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: Describe a difficult situation you handled.
Candidate: I guess I had to resolve a conflict in the team by mediating and redistributing responsibilities.
","Python, SQL, Excel, NumPy, Statistics, Power BI, Pandas, Tableau",3.5,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Mark Smith (EID0018) applied for the role of Data Engineer with B.Tech background. They are a Experienced. Performance in the interview was rated 3.5/5. Skills mentioned: Python, SQL, Excel, NumPy, Statistics, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0019,EID0019,Mrs. Kathryn Holloway MD,Junior Data Scientist,M.Sc in Data Science,5 years,2025-03-12,"Interviewer: Tell me about yourself.
Candidate: I guess Hi, I'm Mrs. Kathryn Holloway MD. I studied M.Sc in Data Science and did internships where I worked on real-world data projects and dashboards.

Interviewer: Describe a difficult situation you handled.
Candidate: Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: What is SQL?
Candidate: It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: Why do you want this job?
Candidate: sort of I want to grow in the data field and believe your company offers great learning opportunities.

Interviewer: How do you clean data?
Candidate: I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: What is your experience with Power BI?
Candidate: you know I connected Power BI to Excel and SQL databases to create dynamic reports for management.
","Excel, R, Statistics, Pandas, Power BI, Tableau",4.17,Excellent candidate. Recommended.,Hire,"Candidate Mrs. Kathryn Holloway MD (EID0019) applied for the role of Junior Data Scientist with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.17/5. Skills mentioned: Excel, R, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0020,EID0020,Tracey Soto MD,Data Science Intern,MBA with Analytics,0 years,2025-04-19,"Interviewer: Tell me about yourself.
Candidate: kinda Hello, I'm Tracey Soto MD, I completed my MBA with Analytics, and I love solving analytical problems through data.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: Describe a difficult situation you handled.
Candidate: uhh... Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: What is your experience with Power BI?
Candidate: I think I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: What is a JOIN operation in SQL?
Candidate: I think JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: What is SQL?
Candidate: sort of SQL helps you interact with databases — for example, to retrieve customer records or sales data.
","SQL, NumPy, R, Power BI, Pandas, Tableau",4.5,Excellent candidate. Recommended.,Hire,"Candidate Tracey Soto MD (EID0020) applied for the role of Data Science Intern with MBA with Analytics background. They are a Fresher. Performance in the interview was rated 4.5/5. Skills mentioned: SQL, NumPy, R, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0021,EID0021,Mrs. Kimberly Gray,Insights Analyst,M.Sc in Data Science,3 years,2025-04-15,"Interviewer: Tell me about yourself.
Candidate: My name is Mrs. Kimberly Gray and I hold a degree in M.Sc in Data Science. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: Describe a difficult situation you handled.
Candidate: like During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: What is SQL?
Candidate: SQL helps you interact with databases — for example, to retrieve customer records or sales data.

Interviewer: What is your experience with Power BI?
Candidate: I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: Why do you want this job?
Candidate: I want to grow in the data field and believe your company offers great learning opportunities.
","SQL, Excel, NumPy, R, Statistics, Pandas, Tableau",4.0,Excellent candidate. Recommended.,Hire,"Candidate Mrs. Kimberly Gray (EID0021) applied for the role of Insights Analyst with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.0/5. Skills mentioned: SQL, Excel, NumPy, R, Statistics, Pandas, Tableau. All mentioned skills supported."
TID0022,EID0022,Chad Lee,Data Engineer,M.Sc in Data Science,0 years,2025-03-06,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Chad Lee, I completed my M.Sc in Data Science, and I love solving analytical problems through data.

Interviewer: What is your experience with Power BI?
Candidate: kinda I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: How do you clean data?
Candidate: I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: Describe a difficult situation you handled.
Candidate: Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.
","SQL, Excel, NumPy, R, Statistics, Power BI, Pandas, Tableau",4.17,Excellent candidate. Recommended.,Hire,"Candidate Chad Lee (EID0022) applied for the role of Data Engineer with M.Sc in Data Science background. They are a Fresher. Performance in the interview was rated 4.17/5. Skills mentioned: SQL, Excel, NumPy, R, Statistics, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0023,EID0023,Melinda Blevins,BI Developer,M.Sc in Data Science,1 years,2025-05-19,"Interviewer: Tell me about yourself.
Candidate: My name is Melinda Blevins and I hold a degree in M.Sc in Data Science. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: How do you clean data?
Candidate: sort of I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is SQL?
Candidate: It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: Describe a difficult situation you handled.
Candidate: During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.
","Python, SQL, Excel, NumPy, Statistics, Power BI, Pandas, Tableau",4.5,Excellent candidate. Recommended.,Hire,"Candidate Melinda Blevins (EID0023) applied for the role of BI Developer with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.5/5. Skills mentioned: Python, SQL, Excel, NumPy, Statistics, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0024,EID0024,Brian Brown,Reporting Analyst,B.Sc in CS,1 years,2025-03-25,"Interviewer: Tell me about yourself.
Candidate: sort of Hello, I'm Brian Brown, I completed my B.Sc in CS, and I love solving analytical problems through data.

Interviewer: Why do you want this job?
Candidate: I want to grow in the data field and believe your company offers great learning opportunities.

Interviewer: How do you clean data?
Candidate: sort of I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: What is a JOIN operation in SQL?
Candidate: sort of JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: What is your experience with Power BI?
Candidate: I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: What is SQL?
Candidate: It’s a language used for querying, updating, and managing data stored in databases.
","Python, Excel, SQL, NumPy, R, Statistics, Power BI, Tableau",4.33,Excellent candidate. Recommended.,Hire,"Candidate Brian Brown (EID0024) applied for the role of Reporting Analyst with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.33/5. Skills mentioned: Python, Excel, SQL, NumPy, R, Statistics, Power BI, Tableau. All mentioned skills supported."
TID0025,EID0025,Angela Merritt,Data Analyst,B.Sc in CS,3 years,2025-06-19,"Interviewer: Tell me about yourself.
Candidate: you know Hello, I'm Angela Merritt, I completed my B.Sc in CS, and I love solving analytical problems through data.

Interviewer: What is SQL?
Candidate: I don't remember exactly.

Interviewer: How do you clean data?
Candidate: I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: Why do you want this job?
Candidate: I'm not sure about that.

Interviewer: Describe a difficult situation you handled.
Candidate: I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.
","Python, SQL, Excel, NumPy, Statistics, Pandas, Power BI, Tableau",4.0,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Angela Merritt (EID0025) applied for the role of Data Analyst with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.0/5. Skills mentioned: Python, SQL, Excel, NumPy, Statistics, Pandas, Power BI, Tableau. SQL listed but not confidently answered"
TID0026,EID0026,Angel Benson,Senior Data Analyst,B.Sc in CS,5 years,2025-04-04,"Interviewer: Tell me about yourself.
Candidate: uhh... Hello, I'm Angel Benson, I completed my B.Sc in CS, and I love solving analytical problems through data.

Interviewer: What is your experience with Power BI?
Candidate: I think I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: Why do you want this job?
Candidate: I’m passionate about data and love solving real-world problems through analysis.

Interviewer: What is a JOIN operation in SQL?
Candidate: umm... It’s used to merge data — for instance, customer details with their orders.

Interviewer: What is SQL?
Candidate: like SQL helps you interact with databases — for example, to retrieve customer records or sales data.

Interviewer: Describe a difficult situation you handled.
Candidate: I'm not sure about that.
","SQL, Excel, NumPy, R, Pandas, Power BI, Tableau",4.17,Excellent candidate. Recommended.,Hire,"Candidate Angel Benson (EID0026) applied for the role of Senior Data Analyst with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.17/5. Skills mentioned: SQL, Excel, NumPy, R, Pandas, Power BI, Tableau. All mentioned skills supported."
